method,donor,pair,status,deviance,interval_covered,interval_width
original_hierarchy,C-8825,19,SCORED,0.03553600913491447,,
original_hierarchy,C-8825,20,SCORED,0.001061638144721216,,
original_hierarchy,C-8825,21,SCORED,2.1816835732661483e-05,,
original_hierarchy,C-8825,22,SCORED,0.02523667416188646,,
original_hierarchy,C-8825,23,SCORED,0.02028075802977082,,
original_hierarchy,C-8825,24,SCORED,0.00037889441524312055,,
original_hierarchy,C-8825,25,SCORED,0.003341073866234775,,
original_hierarchy,C-8825,26,SCORED,0.036998536489350774,,
original_hierarchy,C-8825,27,SCORED,0.0015870584646021741,,
original_hierarchy,C-8825,28,SCORED,0.06207285181786461,,
original_hierarchy,C-8825,29,SCORED,0.0015847326763810555,,
original_hierarchy,C-8825,30,SCORED,0.006722958601576772,,
original_hierarchy,C-8825,31,SCORED,0.007003532305719051,,
original_hierarchy,C-8825,32,SCORED,0.020003040087346078,,
